Hotel_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
588,Tigzirt,DZ,72.97,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
593,Alice Springs,AU,87.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
594,Gohpur,IN,66.18,few clouds,26.8833,93.6333,Murchana Music
595,Potrerillos,HN,83.66,few clouds,15.2333,-87.9667,Colonia klavaskin
596,Petionville,HT,78.49,few clouds,18.5125,-72.2853,Hotel NH Haiti El Rancho
597,Sampit,ID,75.78,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
599,Jocon,HN,69.3,clear sky,15.2833,-86.9667,
600,Iralaya,HN,81.82,light rain,15.0,-83.2333,Iglesia morava renovada
605,Biak,ID,78.4,overcast clouds,-0.9131,122.8766,Penginapan Kim
606,Thohoyandou,ZA,79.3,light rain,-22.9456,30.485,Masili Guesthouse & Conference
611,Xuddur,SO,84.72,overcast clouds,4.1213,43.8894,Banjanay Hotel
612,Prado,BR,82.49,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
615,Ixtapa,MX,72.23,clear sky,20.7,-105.2,hotel la terminal
617,Pandamatenga,BW,80.38,overcast clouds,-18.5278,25.627,Wildtrack Safaris Eco Lodge
618,Vero Beach,US,78.04,mist,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
623,Greenwood,US,65.62,overcast clouds,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
626,Pedasi,PA,78.96,light rain,7.5333,-80.0333,Hotel Casa de Campo Pedasí
627,Benedita,PT,71.96,overcast clouds,39.4247,-8.97,Residência DonaMaria
628,Chabahar,IR,80.49,clear sky,25.2919,60.643,هتل گدروشیا
629,Brufut,GM,93.29,clear sky,13.3814,-16.7518,Gambia Hotel Resort & Spa
634,Taganak,PH,80.74,few clouds,6.0833,118.3,Taganak
635,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
636,Mareeba,AU,72.32,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
