City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Lagoa,PT,2022-11-08 14:34:59,39.05,-27.9833,64.17,79,100,20.94
270,Bambous Virieux,MU,2022-11-08 14:34:59,-20.3428,57.7575,76.21,73,40,9.22
271,Guerrero Negro,MX,2022-11-08 14:34:59,27.9769,-114.0611,64.24,85,2,6.2
272,Airai,TL,2022-11-08 14:35:00,-8.9266,125.4092,63.14,87,100,1.12
273,Katsuura,JP,2022-11-08 14:35:00,35.1333,140.3,60.66,62,8,6.13
274,Cordoba,AR,2022-11-08 14:30:27,-31.4135,-64.1811,82.24,30,0,21.85
275,Halifax,CA,2022-11-08 14:31:00,44.6453,-63.5724,46.45,54,40,28.77
276,Sao Joao Da Barra,BR,2022-11-08 14:35:00,-21.6403,-41.0511,77.09,66,68,9.26
277,Bara,NG,2022-11-08 14:35:01,10.3744,10.7288,95.81,17,70,9.86
278,Channel-Port Aux Basques,CA,2022-11-08 14:30:47,47.5702,-59.1367,41.49,67,100,38.74
279,Alice Springs,AU,2022-11-08 14:31:04,-23.7,133.8833,81.95,34,100,13.8
280,Liepaja,LV,2022-11-08 14:30:21,56.5419,21.0367,51.78,100,100,16.11
281,Nortelandia,BR,2022-11-08 14:36:02,-14.4547,-56.8028,98.51,21,0,1.66
282,Port Macquarie,AU,2022-11-08 14:35:18,-31.4333,152.9167,56.89,100,56,0.0
283,Garowe,SO,2022-11-08 14:36:03,8.4054,48.4845,87.69,29,4,5.48
284,Mlowo,TZ,2022-11-08 14:36:03,-9.0,32.9833,73.49,47,100,5.46
285,Pokhara,NP,2022-11-08 14:36:04,28.2333,83.9833,61.36,75,70,4.09
286,Ternate,ID,2022-11-08 14:36:05,0.8,127.4,82.51,74,99,2.64
287,Casambalangan,PH,2022-11-08 14:36:06,18.3765,122.1274,78.24,86,98,6.4
288,Rypin,PL,2022-11-08 14:31:57,53.066,19.4094,56.14,80,57,8.05
289,Biltine,TD,2022-11-08 14:36:06,14.5333,20.9167,95.02,12,1,10.38
290,Kidal,ML,2022-11-08 14:36:06,18.4411,1.4078,88.66,7,0,13.96
291,Salalah,OM,2022-11-08 14:33:54,17.0151,54.0924,82.49,65,0,3.44
